Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,eigencentrality,indegree,outdegree,Degree
China,China,,3,0.539535,0.593391,7324.060002,1,0.009176,0.342521,9,25,34
Thailand,Thailand,,4,0.395904,0.446121,0.78799,1,0.002555,0.061397,2,10,12
Vietnam,Vietnam,,4,0.359133,0.382902,25.685714,1,0.00282,0.052583,2,3,5
Japan,Japan,,4,0.412811,0.468391,318.644379,1,0.004312,0.196827,6,13,19
United States,United States,,4,0.426471,0.530891,5465.984814,0,0.056892,0.966497,56,30,86
Singapore,Singapore,,5,0.328612,0.396839,512.903827,1,0.010937,0.306071,12,9,21
South Korea,South Korea,,5,0.306878,0.356178,9.116667,1,0.003862,0.119252,5,6,11
Malaysia,Malaysia,,4,0.367089,0.398707,16.65,1,0.003352,0.084699,3,6,9
France,France,,5,0.479339,0.643966,1493.1206,4,0.002297,0.051403,3,50,53
United Kingdom,United Kingdom,,4,0.442748,0.550287,687.945553,3,0.004133,0.129438,9,31,40
Iran,Iran,,5,0.39185,0.497467,0,2,0.001949,0,0,24,24
Lebanon,Lebanon,,7,0.192751,0.209463,0.181818,2,0.00202,0.001185,1,1,2
Canada,Canada,,5,0.31016,0.370546,595.256856,0,0.027623,0.776556,32,9,41
Indonesia,Indonesia,,5,0.309524,0.359972,0,1,0.001949,0,0,7,7
United Arab Emirates,United Arab Emirates,,5,0.338192,0.445402,361.399375,2,0.002338,0.039581,2,21,23
Italy,Italy,,4,0.674419,0.770833,3367.401085,3,0.002267,0.04439,2,65,67
Finland,Finland,,5,0.296675,0.334626,0,0,0.001979,0.005994,1,4,5
North Macedonia,North Macedonia,,0,0,0,0,3,0.001979,0.005994,1,0,1
Spain,Spain,,5,0.385382,0.509052,143.442857,4,0.002111,0.024051,3,27,30
Kuwait,Kuwait,,0,0,0,0,2,0.00202,0.001185,1,0,1
Pakistan,Pakistan,,6,0.25,0.293875,1.25,2,0.00202,0.001185,1,4,5
Greece,Greece,,5,0.297436,0.342529,0.95,0,0.00238,0.011772,3,6,9
Oman,Oman,,5,0.286765,0.311111,0.076923,2,0.00202,0.001185,1,2,3
