source,target
China,China
China,China
Thailand,China
Vietnam,China
China,China
China,China
China,China
China,China
China,China
China,China
China,Japan
China,China
China,China
China,China
China,United States
China,Japan
Japan,Japan
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,Japan
China,Singapore
China,South Korea
China,Malaysia
France,United Kingdom
China,Singapore
China,United Kingdom
China,Malaysia
United States,Japan
China,Japan
China,South Korea
China,Malaysia
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,China
Iran,Lebanon
China,United States
China,China
Iran,Canada
China,Japan
China,China
China,China
China,China
China,Singapore
China,China
South Korea,South Korea
South Korea,South Korea
China,China
Japan,Japan
Indonesia,Japan
Iran,United Arab Emirates
Iran,United Arab Emirates
China,China
China,China
China,Japan
China,China
China,China
China,China
China,China
China,China
China,China
China,China
Italy,Finland
Italy,North Macedonia
Italy,Spain
Italy,Spain
Italy,Spain
Italy,Spain
Italy,Spain
Italy,Spain
Italy,Spain
China,Canada
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Kuwait
Iran,Pakistan
Iran,Pakistan
Italy,Greece
Iran,Oman
Iran,Oman
Iran,Oman
Iran,Oman
Iran,Afghanistan
Italy,Algeria
Italy,Germany
Iran,Australia
Malaysia,Australia
Italy,Brazil
Italy,Romania
Italy,Switzerland
South Korea,South Korea
China,Norway
Iran,Georgia
Azerbaijan,Georgia
Japan,China
Japan,China
Italy,United Kingdom
Italy,United Kingdom
Spain,United Kingdom
Iran,Iraq
Iran,Iraq
Iran,Iraq
Iran,Iraq
Iran,Iraq
Iran,Iraq
Iran,Lebanon
Iran,Lebanon
Italy,Spain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Iran,Bahrain
Indonesia,Singapore
Italy,Croatia
Italy,Croatia
Iran,Oman
Iran,Oman
China,Thailand
Japan,Thailand
Japan,Thailand
Iran,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
Iran,Bahrain
United Arab Emirates,Bahrain
China,China
China,China
China,China
China,China
China,China
Italy,Nigeria
Italy,Spain
Italy,Italy
Italy,Italy
Italy,Italy
Italy,Italy
China,China
China,China
China,China
China,China
China,China
Italy,Italy
Italy,Italy
China,China
China,United States
China,United States
China,China
Italy,Italy
Italy,Switzerland
Italy,Switzerland
Italy,Netherlands
Latvia,Estonia
Italy,Sweden
Germany,Sweden
Iran,Sweden
Italy,Sweden
Italy,Sweden
Iran,Sweden
Italy,Switzerland
Italy,Switzerland
Italy,Switzerland
Italy,Israel
Italy,Romania
Italy,Romania
Italy,Norway
Italy,Norway
Iran,Norway
Italy,Lithuania
Japan,Israel
Japan,Israel
Italy,Netherlands
Spain,Ecuador
Italy,Ecuador
China,China
China,China
China,China
China,China
China,China
China,China
China,China
China,Australia
China,Cambodia
China,Japan
Italy,Netherlands
Italy,Netherlands
Italy,Finland
Italy,Sweden
Italy,Iceland
Italy,Iceland
Italy,Mexico
Germany,Iceland
Italy,Iceland
Senegal,Senegal
Iran,Saudi Arabia
Bahrain,Saudi Arabia
Iran,Canada
Iran,Canada
Iran,Canada
Egypt,Canada
Italy,Russia
Egypt,United States
Egypt,United States
Iran,United States
Iran,Australia
